#Thousand Word Corpus courtesy of ASBusinessMagnet
#Feel free to modify to your own accord

#File format: word,sPoint,nPoint,yPoint,mPoint
violento,3,4,2,1
mensaje,2,4,1,3
mudo,3,4,1,2
envuelto,1,4,3,2
chantaje,2,4,3,1
almohada,1,4,3,2
caballo,2,4,3,1
corriendo,3,4,1,2
cinturon,3,4,1,2
hojas,1,4,3,2
cepillo,1,4,2,3
abuso,2,4,3,1
maldad,2,4,3,1
collar,1,4,2,3
corteza,2,4,1,3
propio,1,4,3,2
texto,2,4,1,3
calumnia,2,4,3,1
risa,3,4,1,2
peluquero,2,4,1,3
jabon,1,4,2,3
silencioso,3,4,1,2
acusar,2,4,3,1
perro,2,4,3,1
gato,2,4,3,1
imposible,1,4,3,2
estilista,2,4,1,3
hambriento,3,4,1,2
tranquilo,3,4,1,2
maltratar,2,4,3,1
acondicionador,1,4,2,3
sueño,1,4,3,2
denunciar,1,4,3,2
pegatinas,2,4,1,3
desayuno,3,4,2,1
adornar,1,4,2,3
tocino,3,4,2,1
bolso,1,4,2,3
mascota,2,4,1,3
moda,3,4,1,2
molestar,1,4,3,2
mochila,1,4,2,3
comprender,3,4,2,1
articular,1,4,2,3
accesorios,1,4,2,3
joyas,1,4,2,3
blasfemia,1,4,3,2
pertenecer,1,4,3,2
cabello,2,4,1,3
movil,3,4,2,1
vicioso,2,4,3,1
molesto,1,4,3,2
blasfemia,1,4,3,2
rojo,2,4,1,3
pony,2,4,1,3
tarjetas,2,4,1,3
llevar,1,4,2,3
confiable,1,4,2,3
hambriento,3,4,1,2
provocar,2,4,3,1
anime,2,4,1,3
contener,1,4,2,3
mordedura,2,4,3,1
ignorar,2,4,3,1
contradiccion,1,4,3,2
erratico,2,4,3,1
pan,3,4,2,1
choque,2,4,3,1
limpiar,2,4,3,1
equivocada,2,4,3,1
miau,3,4,2,1
frustracion,1,4,3,2
escalera,3,4,1,2
confirmar,3,4,2,1
tragar,3,4,1,2
burla,2,4,3,1
determinacion,2,1,4,3
suicidio,3,1,4,2
imaginacion,3,1,4,2
secreto,3,2,4,1
vitalidad,1,3,4,2
existencia,2,1,4,3
efulgente,3,2,4,1
carmesi,3,2,4,1
torbellino,3,2,4,1
ilusion,3,2,4,1
vertigo,1,3,4,2
desorientado,3,1,4,2
esencia,2,1,4,3
ambiente,2,1,4,3
estrellas,2,1,4,3
desorden,3,2,4,1
contaminacion,3,2,4,1
intelectual,2,1,4,3
analisis,2,1,4,3
entropia,1,2,4,3
vivaz,3,2,4,1
misterioso,3,2,4,1
incongruente,2,1,4,3
ira,3,2,4,1
celestial,2,1,4,3
masacre,3,2,4,1
filosofia,2,1,4,3
inconstante,3,1,4,2
tenaz,3,1,4,2
aura,2,1,4,3
inestable,3,1,4,2
infierno,3,2,4,1
incapaz,3,2,4,1
destino,2,1,4,3
infalible,2,1,4,3
agonizante,3,1,4,2
varianza,3,1,4,2
incontrolable,3,1,4,2
extrema,2,1,4,3
huir,3,2,4,1
sueño,2,1,4,3
desastre,3,1,4,2
vivido,3,1,4,2
vibrante,1,3,4,2
pregunta,1,2,4,3
encontrar,3,2,4,1
juicio,2,1,4,3
jaula,1,2,4,3
explotar,2,3,4,1
placer,1,3,4,2
lujuria,1,3,4,2
sensacion,1,3,4,2
climax,1,3,4,2
electricidad,1,2,4,3
repudiar,3,1,4,2
despreciar,3,2,4,1
infinito,2,1,4,3
eternidad,2,1,4,3
tiempo,2,1,4,3
universo,2,1,4,3
interminable,2,1,4,3
llovizna,3,1,4,2
codiciar,1,3,4,2
irrestringido,3,1,4,2
paisaje,2,1,4,3
retrato,2,1,4,3
viaje,3,1,4,2
magro,3,1,4,2
ansiedad,3,2,4,1
aterrador,3,1,4,2
horror,3,1,4,2
melancolia,3,1,4,2
suspiro,2,1,4,3
atonito,3,1,4,2
respirar,1,3,4,2
cautivo,3,1,4,2
deseo,1,3,4,2
cementerio,3,2,4,1
orion,1,3,4,2
retumbo,2,3,4,1
medalla,2,3,4,1
vacilante,3,1,4,2
desmoronarse,1,3,4,2
atmosfera,1,2,4,3
nuclear,1,2,4,3
hercules,1,3,4,2
proliferar,2,3,4,1
escasos,3,1,4,2
enigma,1,3,4,2
invasivo,2,3,4,1
simulacro,3,2,4,1
abismo,1,2,4,3
disolver,1,3,4,2
espontanea,1,3,4,2
iluminacion,3,2,4,1
preguntar,1,2,4,3
interrogar,1,2,4,3
presuponen,1,2,4,3
estructurado,1,2,4,3
logico,1,2,4,3
fundamental,2,3,4,1
aroma,1,2,4,3
hoja,2,3,4,1
primitivo,3,2,4,1
establecido,2,1,4,3
oler,1,2,4,3
indicacion,2,3,4,1
espiritu,2,1,4,3
corte,2,3,4,1
clandestino,1,3,4,2
conjurar,3,1,4,2
gravedad,2,1,4,3
redimir,3,1,4,2
afrodita,1,3,4,2
ilusion,2,1,4,3
fluctuan,2,1,4,3
linterna,3,2,4,1
nervios,3,2,4,1
arcano,1,3,4,2
indeseado,2,3,4,1
principio,1,2,4,3
receptaculo,1,2,4,3
premio,2,3,4,1
manija,2,3,4,1
intimo,1,3,4,2
divergir,1,3,4,2
vacio,1,2,4,3
incandescente,3,2,4,1
consulta,1,2,4,3
material,1,2,4,3
condimento,1,3,4,2
brillante,2,1,4,3
borde,2,3,4,1
centelleo,3,2,4,1
desaparecen,1,3,4,2
conectar,2,3,4,1
desconocido,1,3,4,2
despertar,1,3,4,2
natural,2,3,4,1
huracan,3,1,4,2
diploma,2,3,4,1
disculparse,3,1,4,2
condenar,3,2,4,1
cuchillo,2,3,4,1
despeinado,3,2,4,1
observacion,2,3,4,1
preservado,2,3,4,1
deshabitado,2,3,4,1
abismo,1,2,4,3
antagonizar,3,2,4,1
exacerbar,3,1,4,2
despierta,1,3,4,2
resentadas,3,2,4,1
coherente,1,2,4,3
aterrador,2,1,4,3
insinuacion,2,3,4,1
lograr,2,3,4,1
contraseña,1,3,4,2
encerrado,1,3,4,2
terror,3,1,4,2
mecanica,1,2,4,3
suciedad,3,2,4,1
describe,3,1,4,2
edipo,1,3,4,2
coito,1,3,4,2
direccion,2,3,4,1
reverberan,2,3,4,1
salida,1,2,4,3
magnetico,2,1,4,3
trofeo,2,3,4,1
vortice,3,2,4,1
petrificado,3,2,4,1
retratar,3,1,4,2
detonar,2,3,4,1
ineludible,3,1,4,2
atraer,2,1,4,3
arreglado,1,2,4,3
simbolismo,2,3,4,1
intrincado,2,1,4,3
efusion,1,2,4,3
improbable,1,2,4,3
intocable,2,3,4,1
gigantesco,1,2,4,3
inmovil,3,1,4,2
tormenta,3,1,4,2
explosion,2,3,4,1
avido,1,3,4,2
criminal,2,3,4,1
aparato,1,2,4,3
cascada,1,2,4,3
malinterpretar,1,3,4,2
distorsionar,1,3,4,2
prehistorico,2,3,4,1
cohesivo,1,2,4,3
predicado,1,2,4,3
compulsivo,2,1,4,3
atraer,1,3,4,2
fantasma,2,1,4,3
comparen,2,1,4,3
colapso,2,1,4,3
converger,2,1,4,3
fuerza,2,3,4,1
falso,3,1,4,2
corrupcion,2,3,4,1
conformar,2,1,4,3
agudo,2,3,4,1
olimpico,2,3,4,1
improvisadamente,1,3,4,2
privado,1,3,4,2
apto,1,2,4,3
dionisio,1,3,4,2
brillan,3,2,4,1
voltaje,1,2,4,3
implicacion,2,3,4,1
significar,2,3,4,1
espada,2,3,4,1
enmendar,3,1,4,2
marginados,3,1,4,2
relampagos,3,1,4,2
cavidad,1,2,4,3
singularidad,1,3,4,2
jazmin,1,2,4,3
actual,1,2,4,3
destruccion,1,3,4,2
pervertido,2,3,4,1
salvacion,3,2,4,1
luminaria,3,2,4,1
hueco,1,2,4,3
demanda,1,2,4,3
mutable,3,1,4,2
combust,2,3,4,1
resistir,1,2,4,3
aquiles,1,3,4,2
limbo,3,2,4,1
grupo,2,1,4,3
firme,2,1,4,3
incienso,1,2,4,3
instinto,3,2,4,1
pulsacion,1,3,4,2
compromiso,3,1,4,2
resonar,2,3,4,1
arder,1,2,4,3
infantil,3,2,4,1
sombrio,3,1,4,2
apropiado,1,2,4,3
traumatizar,3,1,4,2
miserable,3,2,4,1
purgatorio,3,2,4,1
sisifo,1,3,4,2
odiar,3,2,4,1
espiral,3,2,4,1
triunfante,2,3,4,1
continental,3,2,1,4
viola,3,1,2,4
envidia,3,1,2,4
futuro,3,1,2,4
confianza,3,2,1,4
ardor,3,2,1,4
omnisciencia,3,1,2,4
anhelo,3,2,1,4
realidad,3,1,2,4
proporcionar,3,2,1,4
saliente,3,2,1,4
apoyo,3,2,1,4
idolo,3,1,2,4
violin,3,1,2,4
separar,3,2,1,4
camino,3,2,1,4
generoso,3,1,2,4
inadecuado,3,2,1,4
espacio,3,1,2,4
piano,3,1,2,4
finito,3,1,2,4
encrucijada,3,2,1,4
estres,3,2,1,4
reputacion,3,1,2,4
ruta,3,2,1,4
benevolo,3,1,2,4
facultado,3,1,2,4
destino,3,1,2,4
gregario,3,2,1,4
alma,3,1,2,4
celos,3,2,1,4
motivacion,3,2,1,4
eleccion,3,2,1,4
suave,3,1,2,4
deber,3,1,2,4
oboe,3,1,2,4
distancia,3,2,1,4
modelo,3,1,2,4
mejorar,3,2,1,4
paciencia,3,1,2,4
presion,3,1,2,4
extrovertido,3,2,1,4
arrepentirse,3,1,2,4
responsabilidad,3,2,1,4
desesperacion,3,2,1,4
social,3,2,1,4
volicion,3,2,1,4
amigable,3,2,1,4
productivo,3,2,1,4
abandona,3,1,2,4
intenciones,3,1,2,4
cortes,3,1,2,4
libertad,3,2,1,4
trompeta,3,1,2,4
abandonar,3,1,2,4
consejos,3,2,1,4
revelacion,3,1,2,4
conocimiento,3,2,1,4
deshacer,3,1,2,4
renunciar,3,1,2,4
interesante,3,2,1,4
perfeccionista,3,2,1,4
popular,3,1,2,4
invitacion,3,2,1,4
util,3,2,1,4
flauta,3,1,2,4
inseparables,3,2,1,4
desista,3,1,2,4
fachada,3,1,2,4
existencial,3,1,2,4
despreciable,3,2,1,4
recurso,3,2,1,4
irracional,3,2,1,4
inferior,3,2,1,4
festival,3,2,1,4
cello,3,1,2,4
lucha,3,2,1,4
visita,3,2,1,4
liderazgo,3,1,2,4
presidente,3,1,2,4
perfecto,3,1,2,4
fuerza,3,2,1,4
club,3,1,2,4
autoridad,3,1,2,4
convencer,1,3,2,4
cuaderno,1,3,2,4
introducir,2,3,1,4
escapada,2,3,1,4
aplausos,2,3,1,4
borrar,1,3,2,4
pasado,1,3,2,4
diferencia,1,3,2,4
diligente,2,3,1,4
juiciosos,1,3,2,4
escritura,1,3,2,4
justificado,1,3,2,4
opinion,1,3,2,4
verdad,1,3,2,4
compilar,1,3,2,4
manzana,2,3,1,4
prestigio,2,3,1,4
identidad,1,3,2,4
futbol,2,3,1,4
atletico,2,3,1,4
escribir,1,3,2,4
solipsismo,2,3,1,4
binario,1,3,2,4
perseverar,2,3,1,4
pruebas,1,3,2,4
tenis,2,3,1,4
exito,2,3,1,4
persistencia,2,3,1,4
artistico,2,3,1,4
futbol,2,3,1,4
individual,1,3,2,4
presentacion,2,3,1,4
destreza,2,3,1,4
tacto,1,3,2,4
vegetales,2,3,1,4
ganador,2,3,1,4
talentoso,2,3,1,4
cruce,2,3,1,4
cafe,2,3,1,4
simulacion,2,3,1,4
entonacion,2,3,1,4
linea,1,3,2,4
continuidad,2,3,1,4
concluir,2,3,1,4
lapiz,1,3,2,4
oponerse,1,3,2,4
tinta,1,3,2,4
nadar,2,3,1,4
restaurante,2,3,1,4
carisma,2,3,1,4
laborioso,2,3,1,4
deportes,2,3,1,4
resetear,2,3,1,4
debate,1,3,2,4
grabar,1,3,2,4
restitucion,1,3,2,4
posicion,1,3,2,4
baloncesto,2,3,1,4
caligrafia,1,3,2,4
utensilio,1,3,2,4
procesar,1,3,2,4
cepillo,1,3,2,4
teclado,1,3,2,4
argumento,1,3,2,4
distintos,1,3,2,4
papel,1,3,2,4
personaje,2,3,1,4
esfuerzo,2,3,1,4
justicia,1,3,2,4
precedente,1,3,2,4
comida,2,3,1,4
papeleria,1,3,2,4
espacio,1,3,2,4
calamar,2,3,1,4
definido,1,3,2,4
suplica,1,3,2,4
pluma,1,3,2,4
programacion,1,3,2,4
valor,2,3,1,4
diccion,2,3,1,4
compitiendo,2,3,1,4
sandia,2,3,1,4
codigo,1,3,2,4
trascender,2,3,1,4
libro,1,2,3,4
sentience,2,1,3,4
zafiro,2,1,3,4
poema,1,2,3,4
periferia,2,1,3,4
mentalidad,2,1,3,4
distinguido,1,2,3,4
musa,1,2,3,4
respaldo,1,2,3,4
artificial,2,1,3,4
independiente,2,1,3,4
piton,2,1,3,4
soledad,2,1,3,4
resumen,2,1,3,4
letargo,2,1,3,4
paralelo,1,2,3,4
orquesta,1,2,3,4
impotente,2,1,3,4
diamante,2,1,3,4
libro,1,2,3,4
sustento,2,1,3,4
imagenes,2,1,3,4
clarividente,2,1,3,4
formal,1,2,3,4
visualizar,2,1,3,4
grandioso,1,2,3,4
despertar,2,1,3,4
linguistico,1,2,3,4
uniforme,1,2,3,4
sinfonia,1,2,3,4
personalidad,1,2,3,4
cordial,1,2,3,4
atento,2,1,3,4
ambivalente,2,1,3,4
ubuntu,2,1,3,4
meditar,2,1,3,4
desconectar,2,1,3,4
estudio,1,2,3,4
facultad,1,2,3,4
significado,1,2,3,4
armonia,1,2,3,4
epifania,2,1,3,4
esmeralda,2,1,3,4
perpetuar,2,1,3,4
esoterico,1,2,3,4
descubra,1,2,3,4
acorde,1,2,3,4
flematico,1,2,3,4
poesia,1,2,3,4
alienacion,2,1,3,4
estructura,2,1,3,4
componer,1,2,3,4
rubi,2,1,3,4
creatividad,2,1,3,4
asignacion,1,2,3,4
colerico,1,2,3,4
pasatiempo,2,1,3,4
algoritmo,2,1,3,4
plata,2,1,3,4
solitario,2,1,3,4
emocion,2,1,3,4
realizar,1,2,3,4
escuela,1,2,3,4
compromiso,2,1,3,4
palabras,1,2,3,4
novela,1,2,3,4
narracion,2,1,3,4
sintaxis,2,1,3,4
apocrifo,1,2,3,4
pomposo,1,2,3,4
subconsciente,2,1,3,4
metafora,1,2,3,4
inteligencia,1,2,3,4
literatura,1,2,3,4
grado,1,2,3,4
limitar,2,1,3,4
aislamiento,2,1,3,4
pristina,1,2,3,4
sanguina,1,2,3,4
psique,1,2,3,4
simbolo,1,2,3,4
disolverse,2,1,3,4
rasgo,1,2,3,4
dorada,2,1,3,4
sostener,2,3,1,4
avidez,3,3,1,4
profundiza,3,2,1,4
tamizar,1,2,2,4
